Reynold,Mach,Alpha,cl,cd,cdp,cm
10000.0,0.1,-10.0,-0.0992,0.1064,0.08839,-0.0368
10000.0,0.1,-9.7,-0.09,0.10347,0.0855,-0.0376
10000.0,0.1,-9.4,-0.0811,0.10054,0.08261,-0.0384
10000.0,0.1,-9.1,-0.0724,0.09764,0.07975,-0.0391
10000.0,0.1,-8.8,-0.064,0.09481,0.07697,-0.0398
10000.0,0.1,-8.5,-0.0558,0.09202,0.07423,-0.0404
10000.0,0.1,-8.2,-0.0481,0.08927,0.07153,-0.0409
10000.0,0.1,-7.9,-0.0406,0.08658,0.06888,-0.0414
10000.0,0.1,-7.6,-0.0901,0.0905,0.073215,-0.0283
10000.0,0.1,-7.3,-0.1265,0.09217000000000002,0.07522,-0.0198
10000.0,0.1,-7.0,-0.1505,0.09206,0.07538,-0.0147
10000.0,0.1,-6.7,-0.1675,0.09094,0.0745,-0.0114
10000.0,0.1,-6.1,-0.19445,0.08766,0.071665,-0.0061
10000.0,0.1,-5.8,-0.2098,0.08597,0.0702,-0.0032
10000.0,0.1,-5.5,-0.2216,0.08387,0.06831,-0.0008
10000.0,0.1,-4.9,-0.2443,0.07933,0.06418499999999999,0.0044
10000.0,0.1,-4.6,-0.248,0.07653,0.06153,0.006
10000.0,0.1,-4.3,-0.2577,0.07406,0.05924,0.0086
10000.0,0.1,-3.7,-0.01,0.05609,0.03965,-0.0399
10000.0,0.1,-3.4,-0.0203,0.05432,0.03803,-0.0387
10000.0,0.1,-2.5,-0.0777,0.04884,0.03321,-0.0325
10000.0,0.1,-2.2,-0.109,0.04675,0.03144,-0.0291
10000.0,0.1,-1.9,-0.1422,0.0445,0.02928,-0.0259
10000.0,0.1,-1.6,-0.1381,0.04319,0.02664,-0.0282
10000.0,0.1,-1.3,-0.115,0.04321,0.02528,-0.0293
10000.0,0.1,-1.0,-0.0931,0.04351,0.024539999999999996,-0.0291
10000.0,0.1,-0.7,-0.072,0.04392,0.02411,-0.0286
10000.0,0.1,-0.4,-0.0513,0.04443,0.0239,-0.028
10000.0,0.1,-0.1,-0.031,0.04501,0.02386,-0.0274
10000.0,0.1,0.2,-0.011,0.04568,0.02397,-0.0267
10000.0,0.1,0.5,0.0087,0.04642000000000001,0.02423,-0.0261
10000.0,0.1,0.7999999999999999,0.0282,0.04724,0.02462,-0.0255
10000.0,0.1,1.0999999999999999,0.0474,0.04814000000000001,0.025129999999999996,-0.024999999999999998
10000.0,0.1,1.4000000000000001,0.0661,0.04913,0.025790000000000004,-0.024499999999999997
10000.0,0.1,1.7,0.0846,0.05019,0.02656,-0.0241
10000.0,0.1,2.0,0.10260000000000001,0.05135,0.02745,-0.0237
10000.0,0.1,2.3000000000000003,0.12039999999999998,0.052599999999999994,0.028459999999999992,-0.0234
10000.0,0.1,2.6,0.13759999999999997,0.05392999999999999,0.02961,-0.0232
10000.0,0.1,2.9,0.1546,0.05537000000000001,0.03088,-0.0231
10000.0,0.1,3.1999999999999997,0.1711,0.0569,0.03227,-0.0231
10000.0,0.1,3.5,0.18700000000000003,0.058529999999999985,0.033789999999999994,-0.023100000000000002
10000.0,0.1,3.8000000000000003,0.20270000000000005,0.06027,0.03543000000000001,-0.0232
10000.0,0.1,4.1000000000000005,0.218,0.062099999999999995,0.03719,-0.0234
10000.0,0.1,4.3999999999999995,0.23296250000000002,0.06401999999999998,0.039063749999999994,-0.0237
10000.0,0.1,4.7,0.24757142857142858,0.06604714285714285,0.041049999999999996,-0.023999999999999997
10000.0,0.1,5.0,0.2619,0.06816,0.043140000000000005,-0.0244
10000.0,0.1,5.3,0.2761,0.07035000000000001,0.045329999999999995,-0.024900000000000002
10000.0,0.1,5.6000000000000005,0.2899,0.07262999999999999,0.04760999999999999,-0.025400000000000002
10000.0,0.1,5.8999999999999995,0.3037,0.075,0.05001,-0.026
10000.0,0.1,6.2,0.31740000000000007,0.07744,0.05247999999999999,-0.026600000000000002
10000.0,0.1,6.5,0.3309,0.07996,0.05505,-0.0273
10000.0,0.1,6.8,0.3442,0.08254,0.05769,-0.028000000000000004
10000.0,0.1,7.1000000000000005,0.3575,0.0852,0.060420000000000015,-0.028799999999999996
10000.0,0.1,7.3999999999999995,0.3706999999999999,0.08791000000000002,0.06321,-0.029600000000000008
10000.0,0.1,7.7,0.3836,0.09069,0.06609,-0.0305
10000.0,0.1,8.0,0.3966,0.09354,0.06904,-0.0314
10000.0,0.1,8.299999999999999,0.4093,0.09643999999999998,0.07206,-0.0323
10000.0,0.1,8.6,0.42200000000000004,0.09941,0.07516,-0.0333
10000.0,0.1,8.9,0.43440000000000006,0.10243999999999999,0.07834,-0.0343
10000.0,0.1,9.200000000000001,0.44680000000000003,0.10553,0.08158,-0.035399999999999994
10000.0,0.1,9.5,0.459,0.10868999999999998,0.08489999999999999,-0.0366
10000.0,0.1,9.799999999999999,0.47109999999999996,0.1119,0.08826999999999999,-0.0378
10000.0,0.1,10.1,0.4828,0.11518000000000003,0.09174000000000002,-0.0391
10000.0,0.1,10.4,0.4945,0.11853999999999999,0.09526999999999998,-0.0404
10000.0,0.1,10.700000000000001,0.5060000000000001,0.12195,0.09889000000000002,-0.0419
10000.0,0.1,11.0,0.5172,0.1254375,0.10256625,-0.0434
10000.0,0.1,11.299999999999999,0.5282999999999999,0.12898,0.10630000000000003,-0.04499999999999999
10000.0,0.1,11.599999999999998,0.5393,0.13260000000000002,0.11013000000000003,-0.046700000000000005
10000.0,0.1,11.900000000000002,0.5502000000000001,0.13630999999999996,0.11404000000000002,-0.048499999999999995
10000.0,0.1,12.200000000000001,0.5608,0.14007,0.118,-0.050300000000000004
10000.0,0.1,12.5,0.5715,0.14386999999999997,0.12197999999999999,-0.05220000000000001
10000.0,0.1,12.799999999999999,0.582,0.14772,0.126,-0.05420000000000001
