Reynold,Mach,Alpha,cl,cd,cdp,cm
5000.0,0.1,-10.0,-0.121,0.1161,0.09014,-0.0374
5000.0,0.1,-9.7,-0.1124,0.11347,0.08755,-0.0382
5000.0,0.1,-9.1,-0.0962,0.10821,0.08239,-0.0398
5000.0,0.1,-8.5,-0.0812,0.10306,0.07737,-0.0412
5000.0,0.1,-7.9,-0.068,0.09801,0.07244,-0.0424
5000.0,0.1,-7.6,-0.062,0.09554,0.07005,-0.0429
5000.0,0.1,-7.3,-0.0566,0.0931,0.06768,-0.0434
5000.0,0.1,-6.7,-0.0476,0.08835,0.06308,-0.0441
5000.0,0.1,-6.4,-0.0441,0.08606,0.06088,-0.0443
5000.0,0.1,-5.5,-0.0393,0.07947,0.05465,-0.0445
5000.0,0.1,-4.6,-0.0462,0.0733,0.04893,-0.0436
5000.0,0.1,-3.4,-0.0861,0.06541,0.04194,-0.0393
5000.0,0.1,-2.8,-0.1248,0.06142,0.03845,-0.0348
5000.0,0.1,-2.5,-0.1417,0.05962,0.03646,-0.0327
5000.0,0.1,-2.2,-0.1439,0.05842,0.03439,-0.032
5000.0,0.1,-1.0,-0.0782,0.05788,0.02929,-0.0306
5000.0,0.1,-0.7,-0.0588,0.05816,0.02867,-0.0299
5000.0,0.1,-0.4,-0.0393,0.05854,0.02824,-0.0292
5000.0,0.1,-0.1,-0.0198,0.05901,0.02797,-0.0285
5000.0,0.1,0.2,-0.0004,0.05956,0.027849999999999996,-0.027699999999999995
5000.0,0.1,0.5,0.0188,0.06019,0.02788,-0.027000000000000003
5000.0,0.1,0.8,0.0379,0.060899999999999996,0.02805,-0.0263
5000.0,0.1,1.1,0.05689999999999999,0.06169,0.028339999999999997,-0.0257
5000.0,0.1,1.4,0.0755,0.06255,0.02878,-0.0251
5000.0,0.1,1.6999999999999997,0.0939,0.0635,0.02933714285714286,-0.024499999999999997
5000.0,0.1,2.0,0.1119,0.06452999999999999,0.03002,-0.023999999999999997
5000.0,0.1,2.3,0.1297,0.06565,0.030830000000000003,-0.0236
5000.0,0.1,2.6,0.1472,0.06684,0.03176,-0.0232
5000.0,0.1,2.8999999999999995,0.16430000000000003,0.06813000000000001,0.03282000000000001,-0.0229
5000.0,0.1,3.2,0.1811,0.0695,0.034,-0.0226
5000.0,0.1,3.5,0.1974,0.07096999999999999,0.03531,-0.0224
5000.0,0.1,3.8,0.21349999999999997,0.07253,0.03674,-0.0223
5000.0,0.1,4.1,0.2292,0.07417,0.03828,-0.0223
5000.0,0.1,4.4,0.2446,0.07591,0.03995,-0.0223
5000.0,0.1,4.7,0.2595,0.07774000000000002,0.04173166666666667,-0.0224
5000.0,0.1,5.0,0.2742,0.07967,0.04363,-0.022600000000000002
5000.0,0.1,5.3,0.2886,0.08167999999999999,0.04564000000000001,-0.022800000000000004
5000.0,0.1,5.6000000000000005,0.3027,0.08377999999999998,0.04775000000000001,-0.023100000000000002
5000.0,0.1,5.8999999999999995,0.31659999999999994,0.08596000000000001,0.04997000000000001,-0.023499999999999997
5000.0,0.1,6.2,0.3303,0.08823000000000002,0.05228,-0.0239
5000.0,0.1,6.5,0.3438,0.09057,0.05469999999999999,-0.0245
5000.0,0.1,6.8,0.3571,0.09299,0.05722,-0.0251
5000.0,0.1,7.1000000000000005,0.37020000000000003,0.09548,0.05979,-0.0257
5000.0,0.1,7.3999999999999995,0.3831,0.09802,0.06246000000000001,-0.026400000000000003
5000.0,0.1,7.7,0.3959,0.10064,0.06521,-0.027100000000000003
5000.0,0.1,8.0,0.40859999999999996,0.10331999999999998,0.06803,-0.028
5000.0,0.1,8.3,0.4210999999999999,0.10604,0.07092,-0.0288
5000.0,0.1,8.6,0.4335,0.10883,0.07387,-0.029799999999999997
5000.0,0.1,8.9,0.44580000000000003,0.11166,0.07689999999999998,-0.030799999999999998
5000.0,0.1,9.200000000000001,0.4580000000000001,0.11455000000000001,0.07998000000000001,-0.0318
5000.0,0.1,9.5,0.4701,0.11748000000000001,0.08313,-0.03289999999999999
5000.0,0.1,9.799999999999999,0.4821,0.12046,0.08631999999999998,-0.0341
5000.0,0.1,10.1,0.49399999999999994,0.12348000000000002,0.08957,-0.035399999999999994
5000.0,0.1,10.4,0.5057,0.12656,0.09289000000000001,-0.0367
5000.0,0.1,10.700000000000001,0.5173,0.12968,0.09625,-0.0381
5000.0,0.1,11.0,0.5288,0.13283,0.09965999999999998,-0.0395
5000.0,0.1,11.299999999999999,0.5400999999999999,0.13603999999999997,0.10311,-0.0411
5000.0,0.1,11.6,0.5513,0.13929,0.10663,-0.04270000000000001
5000.0,0.1,11.900000000000002,0.5625999999999999,0.14260000000000003,0.11021000000000002,-0.0444
5000.0,0.1,12.200000000000001,0.5735,0.14594,0.11383,-0.0462
5000.0,0.1,12.5,0.5844,0.14933,0.11745000000000001,-0.047999999999999994
5000.0,0.1,12.799999999999999,0.5952000000000001,0.15273999999999996,0.12112,-0.0499
5000.0,0.1,13.1,0.606,0.15621166666666664,0.12484666666666666,-0.0519
5000.0,0.1,13.400000000000002,0.6166999999999999,0.15974,0.12864,-0.054
5000.0,0.1,13.700000000000001,0.6273999999999998,0.16331000000000004,0.13244999999999998,-0.05609999999999999
5000.0,0.1,14.0,0.638,0.16690000000000002,0.13627,-0.05820000000000001
5000.0,0.1,14.299999999999999,0.6486999999999999,0.17053,0.14016000000000003,-0.0604
5000.0,0.1,14.6,0.6594,0.1742,0.14402,-0.0627
5000.0,0.1,14.900000000000002,0.6702000000000001,0.17786142857142856,0.14792000000000002,-0.0649
5000.0,0.1,15.200000000000001,0.6809,0.18153,0.15179999999999996,-0.0672
5000.0,0.1,15.5,0.6917,0.18521999999999997,0.15569999999999998,-0.0695
5000.0,0.1,15.799999999999999,0.7027,0.18894,0.15964,-0.0719
5000.0,0.1,16.099999999999998,0.7136,0.19266000000000003,0.16355,-0.0742
5000.0,0.1,16.400000000000002,0.7247000000000001,0.19641,0.16751000000000002,-0.0766
5000.0,0.1,16.7,0.7357,0.20015000000000002,0.17144,-0.079
